timestamp_kst,site,siteType,axisNm,axisDirDivCd,axisDirDivNm,stNodeNm,edNodeNm,speed,trfClsNm
2026-08-05 23:39,선릉역,음성대조,테헤란로,2,하행,선릉역,포스코사거리,21,서행
2026-08-05 23:40,은마아파트입구,대상,도곡로,1,상행,한티역,은마아파트입구,19,서행
2026-08-05 23:40,은마아파트입구,대상,도곡로,1,상행,은마아파트입구,대치동우성아파트,19,서행
2026-08-05 23:40,은마아파트입구,대상,도곡로,2,하행,대치동우성아파트,은마아파트입구,23,서행
2026-08-05 23:40,은마아파트입구,대상,도곡로,2,하행,은마아파트입구,한티역,26,원활
2026-08-05 23:40,은마아파트입구,대상,삼성로,1,상행,대치사거리,은마아파트입구,20,서행
2026-08-05 23:40,은마아파트입구,대상,삼성로,1,상행,은마아파트입구,대치역,18,서행
2026-08-05 23:40,은마아파트입구,대상,삼성로,2,하행,대치역,은마아파트입구,22,서행
2026-08-05 23:40,은마아파트입구,대상,삼성로,2,하행,은마아파트입구,대치사거리,23,서행
2026-08-05 23:40,은행사거리,양성대조,한글비석로,1,상행,양지근린공원,은행사거리,37,원활
2026-08-05 23:40,은행사거리,양성대조,한글비석로,1,상행,은행사거리,중계주공4ㆍ5단지,24,서행
2026-08-05 23:40,은행사거리,양성대조,한글비석로,2,하행,중계주공4ㆍ5단지,은행사거리,26,원활
2026-08-05 23:40,은행사거리,양성대조,한글비석로,2,하행,은행사거리,양지근린공원,12,정체
2026-08-05 23:40,은행사거리,양성대조,중계로,1,상행,청암고교,은행사거리,17,서행
2026-08-05 23:40,은행사거리,양성대조,중계로,1,상행,은행사거리,불암초교,18,서행
2026-08-05 23:40,은행사거리,양성대조,중계로,2,하행,불암초교,은행사거리,21,서행
2026-08-05 23:40,은행사거리,양성대조,중계로,2,하행,은행사거리,청암고교,12,정체
2026-08-05 23:40,목동역,양성대조,오목로,1,상행,목동산돌교회,목동역,22,서행
2026-08-05 23:40,목동역,양성대조,오목로,1,상행,목동역,양강중교앞,22,서행
2026-08-05 23:40,목동역,양성대조,오목로,2,하행,양강중교앞,목동역,22,서행
2026-08-05 23:40,목동역,양성대조,오목로,2,하행,목동역,목동산돌교회,41,원활
2026-08-05 23:40,응암오거리,음성대조,응암로,1,상행,대림시장,응암오거리,29,원활
2026-08-05 23:40,응암오거리,음성대조,응암로,1,상행,응암오거리,응암시장,29,원활
2026-08-05 23:40,응암오거리,음성대조,응암로,2,하행,응암시장,응암오거리,24,서행
2026-08-05 23:40,응암오거리,음성대조,응암로,2,하행,응암오거리,대림시장,19,서행
2026-08-05 23:40,선릉역,음성대조,테헤란로,1,상행,포스코사거리,선릉역,22,서행
2026-08-05 23:40,선릉역,음성대조,테헤란로,1,상행,선릉역,센터필드,19,서행
2026-08-05 23:40,선릉역,음성대조,테헤란로,2,하행,센터필드,선릉역,30,원활
2026-08-05 23:40,선릉역,음성대조,테헤란로,2,하행,선릉역,포스코사거리,22,서행
2026-08-05 23:45,은마아파트입구,대상,도곡로,1,상행,한티역,은마아파트입구,19,서행
2026-08-05 23:45,은마아파트입구,대상,도곡로,1,상행,은마아파트입구,대치동우성아파트,25,원활
2026-08-05 23:45,은마아파트입구,대상,도곡로,2,하행,대치동우성아파트,은마아파트입구,14,정체
2026-08-05 23:45,은마아파트입구,대상,도곡로,2,하행,은마아파트입구,한티역,28,원활
2026-08-05 23:45,은마아파트입구,대상,삼성로,1,상행,대치사거리,은마아파트입구,21,서행
2026-08-05 23:45,은마아파트입구,대상,삼성로,1,상행,은마아파트입구,대치역,23,서행
2026-08-05 23:45,은마아파트입구,대상,삼성로,2,하행,대치역,은마아파트입구,21,서행
2026-08-05 23:45,은마아파트입구,대상,삼성로,2,하행,은마아파트입구,대치사거리,28,원활
2026-08-05 23:45,은행사거리,양성대조,한글비석로,1,상행,양지근린공원,은행사거리,24,서행
2026-08-05 23:45,은행사거리,양성대조,한글비석로,1,상행,은행사거리,중계주공4ㆍ5단지,22,서행
2026-08-05 23:45,은행사거리,양성대조,한글비석로,2,하행,중계주공4ㆍ5단지,은행사거리,12,정체
2026-08-05 23:45,은행사거리,양성대조,한글비석로,2,하행,은행사거리,양지근린공원,12,정체
2026-08-05 23:45,은행사거리,양성대조,중계로,1,상행,청암고교,은행사거리,17,서행
2026-08-05 23:45,은행사거리,양성대조,중계로,1,상행,은행사거리,불암초교,25,원활
2026-08-05 23:45,은행사거리,양성대조,중계로,2,하행,불암초교,은행사거리,6,정체
2026-08-05 23:45,은행사거리,양성대조,중계로,2,하행,은행사거리,청암고교,16,서행
2026-08-05 23:45,목동역,양성대조,오목로,1,상행,목동산돌교회,목동역,21,서행
2026-08-05 23:45,목동역,양성대조,오목로,1,상행,목동역,양강중교앞,24,서행
2026-08-05 23:45,목동역,양성대조,오목로,2,하행,양강중교앞,목동역,29,원활
2026-08-05 23:45,목동역,양성대조,오목로,2,하행,목동역,목동산돌교회,38,원활
2026-08-05 23:45,응암오거리,음성대조,응암로,1,상행,대림시장,응암오거리,20,서행
2026-08-05 23:45,응암오거리,음성대조,응암로,1,상행,응암오거리,응암시장,27,원활
2026-08-05 23:45,응암오거리,음성대조,응암로,2,하행,응암시장,응암오거리,24,서행
2026-08-05 23:45,응암오거리,음성대조,응암로,2,하행,응암오거리,대림시장,29,원활
2026-08-05 23:45,선릉역,음성대조,테헤란로,1,상행,포스코사거리,선릉역,22,서행
2026-08-05 23:45,선릉역,음성대조,테헤란로,1,상행,선릉역,센터필드,20,서행
2026-08-05 23:45,선릉역,음성대조,테헤란로,2,하행,센터필드,선릉역,28,원활
2026-08-05 23:45,선릉역,음성대조,테헤란로,2,하행,선릉역,포스코사거리,23,서행
2026-08-05 23:50,은마아파트입구,대상,도곡로,1,상행,한티역,은마아파트입구,19,서행
2026-08-05 23:50,은마아파트입구,대상,도곡로,1,상행,은마아파트입구,대치동우성아파트,26,원활
2026-08-05 23:50,은마아파트입구,대상,도곡로,2,하행,대치동우성아파트,은마아파트입구,27,원활
2026-08-05 23:50,은마아파트입구,대상,도곡로,2,하행,은마아파트입구,한티역,32,원활
2026-08-05 23:50,은마아파트입구,대상,삼성로,1,상행,대치사거리,은마아파트입구,22,서행
2026-08-05 23:50,은마아파트입구,대상,삼성로,1,상행,은마아파트입구,대치역,22,서행
2026-08-05 23:50,은마아파트입구,대상,삼성로,2,하행,대치역,은마아파트입구,22,서행
2026-08-05 23:50,은마아파트입구,대상,삼성로,2,하행,은마아파트입구,대치사거리,28,원활
2026-08-05 23:50,은행사거리,양성대조,한글비석로,1,상행,양지근린공원,은행사거리,20,서행
2026-08-05 23:50,은행사거리,양성대조,한글비석로,1,상행,은행사거리,중계주공4ㆍ5단지,23,서행
2026-08-05 23:50,은행사거리,양성대조,한글비석로,2,하행,중계주공4ㆍ5단지,은행사거리,23,서행
2026-08-05 23:50,은행사거리,양성대조,한글비석로,2,하행,은행사거리,양지근린공원,12,정체
2026-08-05 23:50,은행사거리,양성대조,중계로,1,상행,청암고교,은행사거리,17,서행
2026-08-05 23:50,은행사거리,양성대조,중계로,1,상행,은행사거리,불암초교,25,원활
2026-08-05 23:50,은행사거리,양성대조,중계로,2,하행,불암초교,은행사거리,6,정체
2026-08-05 23:50,은행사거리,양성대조,중계로,2,하행,은행사거리,청암고교,21,서행
2026-08-05 23:50,목동역,양성대조,오목로,1,상행,목동산돌교회,목동역,19,서행
2026-08-05 23:50,목동역,양성대조,오목로,1,상행,목동역,양강중교앞,22,서행
2026-08-05 23:50,목동역,양성대조,오목로,2,하행,양강중교앞,목동역,14,정체
2026-08-05 23:50,목동역,양성대조,오목로,2,하행,목동역,목동산돌교회,40,원활
2026-08-05 23:50,응암오거리,음성대조,응암로,1,상행,대림시장,응암오거리,13,정체
2026-08-05 23:50,응암오거리,음성대조,응암로,1,상행,응암오거리,응암시장,23,서행
2026-08-05 23:50,응암오거리,음성대조,응암로,2,하행,응암시장,응암오거리,25,서행
2026-08-05 23:50,응암오거리,음성대조,응암로,2,하행,응암오거리,대림시장,27,원활
2026-08-05 23:50,선릉역,음성대조,테헤란로,1,상행,포스코사거리,선릉역,21,서행
2026-08-05 23:50,선릉역,음성대조,테헤란로,1,상행,선릉역,센터필드,22,서행
2026-08-05 23:50,선릉역,음성대조,테헤란로,2,하행,센터필드,선릉역,32,원활
2026-08-05 23:50,선릉역,음성대조,테헤란로,2,하행,선릉역,포스코사거리,22,서행
2026-08-05 23:55,은마아파트입구,대상,도곡로,1,상행,한티역,은마아파트입구,21,서행
2026-08-05 23:55,은마아파트입구,대상,도곡로,1,상행,은마아파트입구,대치동우성아파트,23,서행
2026-08-05 23:55,은마아파트입구,대상,도곡로,2,하행,대치동우성아파트,은마아파트입구,23,서행
2026-08-05 23:55,은마아파트입구,대상,도곡로,2,하행,은마아파트입구,한티역,31,원활
2026-08-05 23:55,은마아파트입구,대상,삼성로,1,상행,대치사거리,은마아파트입구,19,서행
2026-08-05 23:55,은마아파트입구,대상,삼성로,1,상행,은마아파트입구,대치역,22,서행
2026-08-05 23:55,은마아파트입구,대상,삼성로,2,하행,대치역,은마아파트입구,25,원활
2026-08-05 23:55,은마아파트입구,대상,삼성로,2,하행,은마아파트입구,대치사거리,30,원활
2026-08-05 23:55,은행사거리,양성대조,한글비석로,1,상행,양지근린공원,은행사거리,34,원활
2026-08-05 23:55,은행사거리,양성대조,한글비석로,1,상행,은행사거리,중계주공4ㆍ5단지,20,서행
2026-08-05 23:55,은행사거리,양성대조,한글비석로,2,하행,중계주공4ㆍ5단지,은행사거리,24,서행
2026-08-05 23:55,은행사거리,양성대조,한글비석로,2,하행,은행사거리,양지근린공원,17,서행
2026-08-05 23:55,은행사거리,양성대조,중계로,1,상행,청암고교,은행사거리,14,정체
2026-08-05 23:55,은행사거리,양성대조,중계로,1,상행,은행사거리,불암초교,21,서행
2026-08-05 23:55,은행사거리,양성대조,중계로,2,하행,불암초교,은행사거리,6,정체
